Sample ID,Matrix,Mineralization,Source,Analyte,Units,Certified Value,1SD,95% Confidence Low,95% Confidence High,Method
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Ag, Silver (ppm)",(ppm),< 0.100,IND,IND,IND,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"As, Arsenic (ppm)",(ppm),< 1.00,IND,IND,IND,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Ba, Barium (ppm)",(ppm),6.17,0.63,5.66,6.67,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Bi, Bismuth (ppm)",(ppm),< 0.10,IND,IND,IND,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Cd, Cadmium (ppm)",(ppm),< 0.10,IND,IND,IND,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Co, Cobalt (ppm)",(ppm),0.85,0.071,0.77,0.93,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Cu, Copper (ppm)",(ppm),9.23,1.34,7.85,10.61,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Fe, Iron (wt.%)",(wt.%),0.468,0.037,0.432,0.504,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Mn, Manganese (wt.%)",(wt.%),0.011,0.001,0.009,0.013,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Mo, Molybdenum (ppm)",(ppm),2.36,0.086,2.28,2.44,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Nb, Niobium (ppm)",(ppm),0.88,0.081,0.79,0.97,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Ni, Nickel (ppm)",(ppm),4.38,0.63,4.05,4.7,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Pb, Lead (ppm)",(ppm),0.72,0.26,0.49,0.95,4-Acid Digestion
OREAS22d,quartz,N/A,https://www.oreas.com/crm/oreas-22d/,"Rb, Rubidium (ppm)",(ppm),0.54,0.06,0.49,0.59,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Ba, Barium (ppm)",(ppm),716,33,690,742,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Bi, Bismuth (ppm)",(ppm),0.68,0.063,0.64,0.72,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Ca, Calcium (wt.%)",(wt.%),1.08,0.04,1.04,1.12,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Ce, Cerium (ppm)",(ppm),84,3.5,81,87,4-Acid Digestion
OREAS24B,granodiorite,N/A,https://www.oreas.com/crm/oreas-24b/,"Co, Cobalt (ppm)",(ppm),16.9,1.19,16.3,17.4,4-Acid Digestion
