sample_id,NUMBER,AGE,ROCK_NUM,ROCK_DESCR,SUITE_NUMB,SUITE,UNIT_ID,UNIT_SYNTH,UNIT_DESCR,CONTACT_TY
GR1-001,"0",Ordovician,"1",Sedimentary,"1",Richmond Group,"1","Calcareous siltstone and shale, siltstone, limesto","Calcareous siltstone and shale, siltstone, limestone",
GR1-019,"0",Ordovician,"1",Sedimentary,"1",Richmond Group,"1","Calcareous siltstone and shale, siltstone, limesto","Calcareous siltstone and shale, siltstone, limestone",
GR1-031,"0",Ordovician,"1",Sedimentary,"1",Richmond Group,"1","Calcareous siltstone and shale, siltstone, limesto","Calcareous siltstone and shale, siltstone, limestone",
TE2-019,"0",Ordovician,"1",Sedimentary,"1",Richmond Group,"1","Calcareous siltstone and shale, siltstone, limesto","Calcareous siltstone and shale, siltstone, limestone",
TE2-020,"0",Ordovician,"1",Sedimentary,"1",Richmond Group,"1","Calcareous siltstone and shale, siltstone, limesto","Calcareous siltstone and shale, siltstone, limestone",
TE2-020F,"0",Ordovician,"1",Sedimentary,"1",Richmond Group,"1","Calcareous siltstone and shale, siltstone, limesto","Calcareous siltstone and shale, siltstone, limestone",
TE2-026,"0",Ordovician,"1",Sedimentary,"1",Richmond Group,"1","Calcareous siltstone and shale, siltstone, limesto","Calcareous siltstone and shale, siltstone, limestone",
TE2-027,"0",Ordovician,"1",Sedimentary,"1",Richmond Group,"1","Calcareous siltstone and shale, siltstone, limesto","Calcareous siltstone and shale, siltstone, limestone",
GR1-002,"1",Cretaceous,"2",Metamorphic,"2",Hornfels,"2",Hornfels,"Hornfels and metasomatised hornfels; fine grained to aphanitic brown to black, conchoidally fracturing pelites with abundant dyke",
GR1-018,"1",Cretaceous,"2",Metamorphic,"2",Hornfels,"2",Hornfels,"Hornfels and metasomatised hornfels; fine grained to aphanitic brown to black, conchoidally fracturing pelites with abundant dyke",
GR1-028,"1",Cretaceous,"2",Metamorphic,"2",Hornfels,"2",Hornfels,"Hornfels and metasomatised hornfels; fine grained to aphanitic brown to black, conchoidally fracturing pelites with abundant dyke",
TE2-001,"1",Cretaceous,"2",Metamorphic,"2",Hornfels,"2",Hornfels,"Hornfels and metasomatised hornfels; fine grained to aphanitic brown to black, conchoidally fracturing pelites with abundant dyke",
TE2-017,"1",Cretaceous,"2",Metamorphic,"2",Hornfels,"2",Hornfels,"Hornfels and metasomatised hornfels; fine grained to aphanitic brown to black, conchoidally fracturing pelites with abundant dyke",
TE2-018,"1",Cretaceous,"2",Metamorphic,"2",Hornfels,"2",Hornfels,"Hornfels and metasomatised hornfels; fine grained to aphanitic brown to black, conchoidally fracturing pelites with abundant dyke",
TE2-021,"1",Cretaceous,"2",Metamorphic,"2",Hornfels,"2",Hornfels,"Hornfels and metasomatised hornfels; fine grained to aphanitic brown to black, conchoidally fracturing pelites with abundant dyke",
TE2-056,"1",Cretaceous,"2",Metamorphic,"2",Hornfels,"2",Hornfels,"Hornfels and metasomatised hornfels; fine grained to aphanitic brown to black, conchoidally fracturing pelites with abundant dyke",
GR1-003,"41",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
TE2-003,"41",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
GR1-033,"42",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
GR1-053,"42",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
TE2-049,"42",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
TE2-050,"42",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
TE2-050F,"42",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
TE2-051,"42",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
TE2-052,"43",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
TE2-053,"43",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
GR1-014,"45",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
GR1-015,"45",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
TE2-022,"45",Cretaceous,"3",Igneous,"4",Pain de sucre,"8",Coarse-grained nepheline diotite and monzonite,"Medium to coarse-grained nepheline diotite and monzonite, plagioclase rimed by k-spar, interstitial nepheline, mafic clots containing olivine, titanaugite, kaersutite and biotite",Gradational
