,index,Unnamed: 0,sample_id,date,group,sample_type,qaqc_type,Au,As,Sb,Ag,Ba,Bi,Ca,Cd,Cl,Co,Cr,Cu,Fe,Hg,K,Mn,Mo,Ni,P,Pb,Rb,S,Se,Sn,Sr,Ti,U,V,Zn,Zr,Nb,Pd,Pt,Rh,Y,La,Ce,Pr,Nd,Sm,comments
0,0,0,oreas24b,2021-10-06,group 2,standard,standard,1.8,11.1,<1.7869220549759781,32.0,679.0,22.8,10235.0,<nan,1048.0,<30.441780568272534,163.0,33.1,42498.0,-1.6,<2772.1587834927814,451.0,4.1,9.0,<644.9313652728606,20.5,162.6,2157.0,<nan,11.0,118.8,4935.0,<4.808030478491732,117.0,94.3,<1868.0650950673244,20.2,0.5,13.0,0.1,44.5,31.0,37.0,<-5.108256281669303,34.0,22.0,
1,1,1,oreas22d,2021-10-06,group 2,standard,standard,1.0,<2.6244869705522516,<1.7869220549759781,<9.758418805395854,<13.02893554594495,<4.26929417764139,<1432.6020872593424,<nan,-430.0,<30.441780568272534,<61.11209177967383,<5.988465004863517,<3728.128329156112,-3.0,<2772.1587834927814,<95.17841694569336,2.7,2.4,1183.0,<7.28235335780706,<2.401769717040935,<1888.1967632959377,<nan,<5.342780803987754,<5.793869495134919,<2040.0531359708095,<4.808030478491732,<28.595683828969484,<34.1266135646,<1868.0650950673244,<6.528570679765783,0.9,-1.0,0.3,<10.34278054504528,<20.559599300125416,-14.0,25.0,<6.358067233908441,24.0,
2,2,2,oreas24c,2021-10-06,group 2,standard,standard,2.8,<2.6244869705522516,<1.7869220549759781,72.0,256.0,4.3,80141.0,<nan,2547.0,32.8,234.0,49.0,83177.0,2.1,10716.0,1072.0,<2.4797694423678664,28.0,<644.9313652728606,<7.28235335780706,20.5,<1888.1967632959377,<nan,<5.342780803987754,405.0,12096.0,<4.808030478491732,124.0,98.5,<1868.0650950673244,25.9,-0.6,16.9,-0.5,30.7,<20.559599300125416,13.0,<-5.108256281669303,37.0,21.0,
3,3,3,oreas901,2021-10-06,group 2,standard,standard,4.8,<2.6244869705522516,6.0,<9.758418805395854,197.0,27.1,<1432.6020872593424,<nan,1010.0,<30.441780568272534,95.0,<5.988465004863517,39381.0,-0.3,<2772.1587834927814,316.0,5.8,-12.0,<644.9313652728606,17.8,168.2,<1888.1967632959377,<nan,<5.342780803987754,33.0,3559.0,10.3,79.0,<34.1266135646,<1868.0650950673244,20.5,0.9,11.2,0.0,56.2,<20.559599300125416,61.0,<-5.108256281669303,26.0,7.0,
4,4,4,oreas501b,2021-10-06,group 2,standard,standard,2.5,14.7,<1.7869220549759781,40.0,951.0,25.9,29292.0,<nan,1262.0,<30.441780568272534,<61.11209177967383,<5.988465004863517,45482.0,-0.2,<2772.1587834927814,567.0,<2.4797694423678664,13.0,939.0,23.4,<2.401769717040935,5110.0,<nan,6.0,322.0,4966.0,<4.808030478491732,141.0,97.0,<1868.0650950673244,24.4,0.3,13.7,0.3,35.4,34.0,52.0,<-5.108256281669303,104.0,-26.0,
5,5,5,oreas45e,2021-10-06,group 2,standard,standard,9.8,11.0,<1.7869220549759781,85.0,257.0,29.0,<1432.6020872593424,<nan,,<30.441780568272534,<61.11209177967383,<5.988465004863517,<3728.128329156112,-1.2,7849.0,592.0,4.0,<-87.9928841881601,<644.9313652728606,45.0,21.6,2711.0,<nan,<5.342780803987754,15.2,9325.0,9.7,242.0,56.0,<1868.0650950673244,25.0,4.0,13.0,1.4,23.4,<20.559599300125416,5.0,<-5.108256281669303,<6.358067233908441,-20.0,
6,6,6,oreas25a,2021-10-06,group 2,standard,standard,2.5,9.3,<1.7869220549759781,<9.758418805395854,118.0,22.9,2889.0,<nan,2092.0,<30.441780568272534,139.0,33.2,76334.0,-3.3,6436.0,539.0,4.7,-49.0,<644.9313652728606,25.6,61.4,<1888.1967632959377,<nan,<5.342780803987754,45.1,13425.0,<4.808030478491732,135.0,39.5,<1868.0650950673244,34.6,0.9,17.0,0.5,36.4,<20.559599300125416,11.0,<-5.108256281669303,38.0,-2.0,
7,7,7,oreas902,2021-10-06,group 2,standard,standard,,<2.6244869705522516,<1.7869220549759781,13.0,153.0,25.3,49102.0,<nan,735.0,34.3,74.0,<5.988465004863517,28142.0,-2.1,<2772.1587834927814,455.0,14.3,108.0,972.0,12.0,107.1,<1888.1967632959377,<nan,<5.342780803987754,27.5,2331.0,6.9,50.0,<34.1266135646,<1868.0650950673244,14.8,0.0,1.3,0.4,28.1,24.0,91.0,12.0,42.0,3.0,
8,8,8,sio2blank,2021-10-06,group 2,standard,standard,-0.4,<2.6244869705522516,2.3,<9.758418805395854,<13.02893554594495,<4.26929417764139,<1432.6020872593424,<nan,-608.0,<30.441780568272534,<61.11209177967383,<5.988465004863517,<3728.128329156112,-2.0,<2772.1587834927814,<95.17841694569336,<2.4797694423678664,2.2,<644.9313652728606,<7.28235335780706,<2.401769717040935,<1888.1967632959377,<nan,<5.342780803987754,<5.793869495134919,<2040.0531359708095,<4.808030478491732,<28.595683828969484,<34.1266135646,<1868.0650950673244,<6.528570679765783,1.1,-1.5,0.1,<10.34278054504528,<20.559599300125416,5.0,16.0,<6.358067233908441,-5.0,
9,9,9,oreas503b,2021-10-06,group 2,standard,standard,3.5,15.0,<1.7869220549759781,41.0,874.0,22.5,31267.0,<nan,1782.0,<30.441780568272534,<61.11209177967383,<5.988465004863517,58498.0,1.5,<2772.1587834927814,597.0,<2.4797694423678664,-31.0,1000.0,24.9,163.8,<1888.1967632959377,<nan,<5.342780803987754,360.0,5055.0,<4.808030478491732,145.0,128.0,<1868.0650950673244,21.4,0.4,6.1,0.4,35.5,<20.559599300125416,30.0,<-5.108256281669303,95.0,3.0,
10,10,10,oreas904,2021-10-06,group 2,standard,standard,6.1,<2.6244869705522516,8.0,<9.758418805395854,159.0,27.9,<1432.6020872593424,<nan,2283.0,33.0,101.0,<5.988465004863517,78611.0,-1.8,<2772.1587834927814,474.0,4.3,-68.0,1367.0,8.7,134.6,2113.0,<nan,<5.342780803987754,26.3,3750.0,7.2,80.0,78.0,<1868.0650950673244,22.0,1.4,1.4,0.6,49.3,<20.559599300125416,57.0,8.0,<6.358067233908441,50.0,
11,11,11,oreas502b,2021-10-06,group 2,standard,standard,2.2,16.0,<1.7869220549759781,42.0,858.0,27.4,31089.0,<nan,1975.0,<30.441780568272534,<61.11209177967383,<5.988465004863517,61070.0,1.0,<2772.1587834927814,612.0,<2.4797694423678664,-39.0,881.0,31.3,162.5,<1888.1967632959377,<nan,11.0,335.0,5088.0,<4.808030478491732,149.0,192.0,<1868.0650950673244,22.8,0.0,6.1,0.6,34.3,<20.559599300125416,73.0,<-5.108256281669303,97.0,4.0,
12,12,12,oreas504b,2021-10-06,group 2,standard,standard,2.3,13.0,<1.7869220549759781,32.0,654.0,21.0,34900.0,<nan,2752.0,33.5,125.0,<5.988465004863517,86832.0,3.9,<2772.1587834927814,624.0,<2.4797694423678664,-86.0,2393.0,24.2,101.2,<1888.1967632959377,<nan,<5.342780803987754,396.0,4558.0,<4.808030478491732,136.0,210.0,<1868.0650950673244,13.4,0.6,-3.2,0.4,29.0,<20.559599300125416,35.0,<-5.108256281669303,59.0,21.0,
